Species,FBname,Genus,Subfamily,BodyShapeI,Vulnerability,Length,DepthRangeShallow,DepthRangeDeep,Aquarium,Dangerous
Echinophryne reynoldsi,Sponge anglerfish,Echinophryne,Histiophryninae,other,10,8,0,20,never/rarely,harmless
Fowlerichthys avalonis,Roughbar frogfish,Fowlerichthys,Antennariinae,short and / or deep,17.57,33,0,300,never/rarely,harmless
Fowlerichthys ocellatus,Ocellated frogfish,Fowlerichthys,Antennariinae,short and / or deep,20,38,1,500,commercial,harmless
Fowlerichthys radiosus,Singlespot frogfish,Fowlerichthys,Antennariinae,short and / or deep,10,7.6,20,275,never/rarely,harmless
Fowlerichthys scriptissimus,NA,Fowlerichthys,Antennariinae,short and / or deep,24.16,28,73,185,never/rarely,harmless
Fowlerichthys senegalensis,Senegalese frogfish,Fowlerichthys,Antennariinae,short and / or deep,24.77,28.5,10,80,never/rarely,harmless
Gigantactis balushkini,NA,Gigantactis,NA,short and / or deep,10,NA,NA,1210,never/rarely,harmless
Gigantactis elsmani,NA,Gigantactis,NA,other,36.85,NA,0,3000,never/rarely,harmless
Gigantactis gargantua,NA,Gigantactis,NA,other,33.57,41,500,1535,never/rarely,harmless
Gigantactis gibbsi,NA,Gigantactis,NA,NA,18.2,NA,465,1640,never/rarely,harmless
Gigantactis golovani,NA,Gigantactis,NA,NA,18.2,NA,0,2100,never/rarely,harmless
Gigantactis gracilicauda,NA,Gigantactis,NA,other,10,10.7,2000,2500,never/rarely,harmless
Gigantactis herwigi,NA,Gigantactis,NA,NA,21.96,NA,0,2000,never/rarely,harmless
Gigantactis ios,NA,Gigantactis,NA,short and / or deep,10,NA,1005,1360,never/rarely,harmless
Gigantactis kreffti,NA,Gigantactis,NA,NA,20.74,NA,0,2000,never/rarely,harmless
Gigantactis longicauda,NA,Gigantactis,NA,short and / or deep,10,NA,500,1200,never/rarely,harmless
Gigantactis longicirra,NA,Gigantactis,NA,other,18.2,NA,1000,2300,never/rarely,harmless
Gigantactis macronema,NA,Gigantactis,NA,short and / or deep,33.19,11.65,650,2500,never/rarely,harmless
Gigantactis meadi,NA,Gigantactis,NA,short and / or deep,25.14,28.8,1850,2000,never/rarely,harmless
Gigantactis microdontis,NA,Gigantactis,NA,short and / or deep,10,NA,700,915,never/rarely,harmless
Gigantactis microphthalmus,NA,Gigantactis,NA,NA,18.2,NA,NA,NA,never/rarely,harmless
Gigantactis paxtoni,Paxton's whipnose,Gigantactis,NA,short and / or deep,25.99,29.5,540,1500,never/rarely,harmless
Gigantactis perlatus,NA,Gigantactis,NA,NA,17.21,NA,670,2000,never/rarely,harmless
Gigantactis savagei,NA,Gigantactis,NA,short and / or deep,10,NA,700,1250,never/rarely,harmless
Gigantactis vanhoeffeni,NA,Gigantactis,NA,short and / or deep,43.84,NA,300,5300,never/rarely,harmless
Gigantactis watermani,NA,Gigantactis,NA,NA,18.2,NA,0,2100,never/rarely,harmless
Halicmetus niger,NA,Halicmetus,NA,other,32.01,8.72,280,1000,never/rarely,harmless
Halicmetus reticulatus,Marbled seabat,Halicmetus,NA,other,32.58,9,291,500,never/rarely,harmless
Halicmetus ruber,NA,Halicmetus,NA,other,32.58,9,344,549,NA,harmless
Halieutaea brevicauda,Spiny sea bat,Halieutaea,NA,other,36.96,21,90,250,never/rarely,harmless
Halieutaea coccinea,Scarlet seabat,Halieutaea,NA,NA,34.2,16,NA,494,never/rarely,harmless
Halieutaea fitzsimonsi,Circular seabat,Halieutaea,NA,short and / or deep,48.74,30,20,120,never/rarely,harmless
Halieutaea fumosa,Smoky seabat,Halieutaea,NA,other,38.45,14,NA,220,NA,harmless
Halieutaea hancocki,Hairy seabat,Halieutaea,NA,short and / or deep,32.05,13,200,250,never/rarely,harmless
Halieutaea indica,Indian handfish,Halieutaea,NA,short and / or deep,33.59,15,NA,100,never/rarely,harmless
Halieutaea nigra,NA,Halieutaea,NA,NA,46.1,NA,344,403,never/rarely,harmless
Halieutaea retifera,NA,Halieutaea,NA,other,34.36,10.2,75,386,never/rarely,harmless
Halieutaea stellata,Minipizza batfish,Halieutaea,NA,other,46.86,30,50,400,never/rarely,harmless
Halieutichthys aculeatus,Pancake batfish,Halieutichthys,NA,short and / or deep,28.8,10,5,820,never/rarely,harmless
Halieutichthys bispinosus,Spiny batfish,Halieutichthys,NA,short and / or deep,34.36,9.93,100,400,never/rarely,harmless
Halieutichthys caribbaeus,NA,Halieutichthys,NA,NA,33.8,NA,NA,NA,never/rarely,harmless
Halieutichthys intermedius,NA,Halieutichthys,NA,short and / or deep,28.47,7.14,1,366,never/rarely,harmless
Halieutopsis andriashevi,NA,Halieutopsis,NA,short and / or deep,20.78,NA,3800,4000,never/rarely,harmless
Halieutopsis bathyoreos,NA,Halieutopsis,NA,short and / or deep,26.16,6.26,960,1500,never/rarely,harmless
